Id,SalePrice
1,131098.0
2,155917.32
3,155493.37
4,182752.5
5,215410.53
6,178369.32
7,166349.16
8,172305.55
9,189353.98333333337
10,118280.6
11,206774.46666666667
12,105413.83333333331
13,135694.0
14,170021.0
15,115367.5
16,368646.6
17,252307.3
18,284867.03
19,253689.75
20,479423.16
21,339397.28
22,202424.15
23,173959.44
24,158001.32
25,179783.3
26,218929.6
27,390734.99
28,254983.58
29,197993.56
30,195316.0
31,198726.3
32,107904.5
33,184051.5
34,315098.7
35,353004.25
36,214385.4
37,204968.0
38,152930.184
39,153009.576
40,157684.91083333333
41,173381.0
42,151632.69999999998
43,285267.43
44,262413.86
45,212672.28
46,221457.0
47,237192.0
48,205806.99
49,173926.73
50,153808.11
51,147480.0
52,191544.5
53,172966.35
54,164826.5
55,155920.0
56,175698.39
57,146377.32
58,140703.73
59,218523.95
60,136821.5
61,134552.68
62,184214.32
63,120101.25
64,131742.64
65,127444.0
66,126472.5
67,122376.1
68,124730.25
69,144816.0
70,167016.68
71,132969.57
72,109048.0
73,167978.87
74,125342.91
75,137059.23
76,134182.5
77,96250.5
78,178272.95
79,268728.98
80,130580.0
81,163155.0
82,142918.0
83,219654.46
84,95741.0
85,130319.5
86,147108.17833333334
87,133305.37
88,149531.22
89,129504.33
90,149911.5
91,132053.25
92,139029.98
93,150271.5
94,120114.75
95,148741.1
96,117112.5
97,134833.21
98,103536.5
99,141213.5
100,160226.0
101,170235.0
102,126653.14
103,117521.0
104,154234.0
105,139721.14
106,230617.14333333337
107,95485.0
108,218152.1
109,123799.9
110,147396.7
111,123428.0
112,134585.5
113,204578.1
114,156967.0
115,210683.8333333333
116,207001.84
117,182415.79
118,152887.0
119,144917.8
120,198281.0
121,123975.0
122,129350.5
123,324794.56
124,233006.0
125,140137.50822510823
126,70963.0
127,94876.5
128,132118.5
129,109355.5
130,127043.25
131,100249.0
132,136891.5
133,130910.06714285715
134,138220.0
135,136034.87
136,254083.36
137,134259.53
138,175200.3
139,195093.54133333333
140,194049.68
141,66916.0
142,131412.6
143,112189.58
144,258489.35
145,280685.28
146,177462.5
147,180509.0
148,209679.23333333337
149,173115.25
150,144921.32
151,136710.01
152,150712.53
153,149025.0
154,123774.75
155,108147.5
156,108147.5
157,105684.5
158,112919.11
159,121935.0
160,189850.0
161,149291.0
162,138457.68
163,325423.9
164,204744.5
165,129798.83
166,192075.0
167,184228.5
168,275790.1
169,174303.0
170,331576.93
171,268799.1
172,279337.14
173,175312.65
174,185014.5
175,176789.95
176,153845.1
177,212278.55
178,234320.95
179,170704.0
180,251796.2
181,171548.0
182,219570.66
183,260471.43
184,262496.78
185,171038.5
186,157078.39
187,155258.4
188,142010.37
189,128415.0
190,117931.0
191,112036.5
192,103726.5
